IP:PORT, LOSS, DELAY
162.159.192.152:5279,0.00%,151 ms
162.159.195.55:5279,0.00%,152 ms
162.159.195.104:5279,0.00%,152 ms
162.159.195.104:908,0.00%,152 ms
162.159.195.135:908,0.00%,153 ms
162.159.192.156:908,0.00%,153 ms
162.159.192.80:5279,0.00%,154 ms
162.159.192.51:5279,0.00%,155 ms
162.159.192.51:908,0.00%,155 ms
162.159.192.105:5279,0.00%,155 ms
162.159.195.19:5279,0.00%,155 ms
162.159.192.183:908,0.00%,156 ms
162.159.195.85:908,0.00%,156 ms
162.159.192.55:908,0.00%,156 ms
162.159.192.59:908,0.00%,157 ms
162.159.195.55:908,0.00%,157 ms
162.159.195.230:908,0.00%,158 ms
162.159.192.152:908,0.00%,159 ms
162.159.192.228:5279,0.00%,159 ms
162.159.192.228:908,0.00%,159 ms
162.159.195.135:5279,0.00%,159 ms
162.159.195.98:908,0.00%,160 ms
162.159.195.18:908,0.00%,160 ms
162.159.192.105:908,0.00%,160 ms
162.159.195.18:5279,0.00%,160 ms
162.159.195.98:5279,0.00%,160 ms
162.159.192.132:5279,0.00%,160 ms
162.159.195.249:5279,0.00%,160 ms
162.159.192.132:908,0.00%,160 ms
162.159.195.249:908,0.00%,160 ms
162.159.192.156:5279,0.00%,160 ms
162.159.195.158:5279,0.00%,161 ms
162.159.192.80:908,0.00%,161 ms
162.159.192.59:5279,0.00%,162 ms
162.159.195.48:908,0.00%,163 ms
162.159.192.183:5279,0.00%,163 ms
162.159.192.55:5279,0.00%,164 ms
162.159.195.85:5279,0.00%,164 ms
162.159.195.230:5279,0.00%,166 ms
162.159.195.109:908,0.00%,166 ms
162.159.192.197:5279,0.00%,166 ms
162.159.195.158:908,0.00%,169 ms
162.159.195.19:908,0.00%,170 ms
162.159.195.48:5279,0.00%,172 ms
162.159.195.109:5279,0.00%,174 ms
162.159.192.197:908,0.00%,175 ms
188.114.98.202:908,0.00%,191 ms
188.114.96.192:908,0.00%,191 ms
188.114.97.56:908,0.00%,191 ms
188.114.97.48:5279,0.00%,191 ms
188.114.98.81:5279,0.00%,192 ms
188.114.96.43:908,0.00%,193 ms
188.114.99.186:5279,0.00%,195 ms
188.114.96.192:5279,0.00%,195 ms
188.114.97.226:908,0.00%,197 ms
188.114.99.186:908,0.00%,198 ms
188.114.96.198:5279,0.00%,198 ms
188.114.97.99:908,0.00%,199 ms
188.114.97.59:5279,0.00%,200 ms
188.114.99.161:5279,0.00%,200 ms
188.114.96.105:908,0.00%,200 ms
188.114.97.211:5279,0.00%,200 ms
188.114.97.78:5279,0.00%,200 ms
188.114.96.105:5279,0.00%,200 ms
188.114.98.177:5279,0.00%,204 ms
188.114.97.226:5279,0.00%,204 ms
188.114.98.153:5279,0.00%,205 ms
188.114.98.198:5279,0.00%,206 ms
188.114.98.255:5279,0.00%,206 ms
188.114.98.255:908,0.00%,206 ms
188.114.96.198:908,0.00%,206 ms
188.114.98.202:5279,0.00%,207 ms
188.114.96.54:5279,0.00%,207 ms
188.114.98.79:908,0.00%,207 ms
188.114.98.41:5279,0.00%,207 ms
188.114.98.153:908,0.00%,207 ms
188.114.96.121:5279,0.00%,207 ms
188.114.96.60:5279,0.00%,207 ms
188.114.98.138:908,0.00%,207 ms
188.114.98.145:5279,0.00%,207 ms
188.114.97.59:908,0.00%,207 ms
188.114.99.240:908,0.00%,207 ms
188.114.99.71:5279,0.00%,207 ms
188.114.98.148:5279,0.00%,207 ms
188.114.99.3:908,0.00%,208 ms
188.114.98.177:908,0.00%,208 ms
188.114.97.211:908,0.00%,208 ms
188.114.99.3:5279,0.00%,208 ms
188.114.98.138:5279,0.00%,209 ms
188.114.99.71:908,0.00%,209 ms
188.114.98.84:908,0.00%,209 ms
188.114.98.81:908,0.00%,209 ms
188.114.98.69:908,0.00%,209 ms
188.114.97.78:908,0.00%,210 ms
188.114.98.79:5279,0.00%,210 ms
188.114.97.132:908,0.00%,210 ms
188.114.96.116:908,0.00%,212 ms
188.114.96.130:5279,0.00%,212 ms
188.114.97.56:5279,0.00%,212 ms
188.114.98.50:5279,0.00%,212 ms
188.114.96.50:5279,0.00%,212 ms
188.114.96.60:908,0.00%,212 ms
188.114.99.242:5279,0.00%,212 ms
188.114.97.136:5279,0.00%,212 ms
188.114.97.99:5279,0.00%,212 ms
188.114.98.69:5279,0.00%,212 ms
188.114.97.48:908,0.00%,213 ms
188.114.96.54:908,0.00%,213 ms
188.114.99.161:908,0.00%,213 ms
188.114.96.43:5279,0.00%,213 ms
188.114.98.148:908,0.00%,213 ms
188.114.98.41:908,0.00%,213 ms
188.114.96.130:908,0.00%,213 ms
188.114.98.84:5279,0.00%,213 ms
188.114.98.50:908,0.00%,214 ms
188.114.97.132:5279,0.00%,214 ms
188.114.96.116:5279,0.00%,215 ms
188.114.97.1:908,0.00%,215 ms
188.114.96.78:5279,0.00%,215 ms
188.114.99.83:5279,0.00%,215 ms
188.114.99.150:5279,0.00%,215 ms
188.114.99.9:908,0.00%,215 ms
188.114.99.9:5279,0.00%,215 ms
188.114.97.136:908,0.00%,215 ms
188.114.96.78:908,0.00%,216 ms
188.114.99.114:5279,0.00%,216 ms
188.114.99.83:908,0.00%,216 ms
188.114.96.121:908,0.00%,218 ms
188.114.96.50:908,0.00%,218 ms
188.114.98.198:908,0.00%,220 ms
188.114.97.1:5279,0.00%,220 ms
188.114.99.242:908,0.00%,220 ms
188.114.99.150:908,0.00%,221 ms
188.114.98.14:5279,0.00%,221 ms
188.114.98.145:908,0.00%,221 ms
188.114.98.14:908,0.00%,221 ms
188.114.99.114:908,0.00%,224 ms
162.159.193.43:908,100.00%,1000 ms
162.159.192.3:5279,100.00%,1000 ms
162.159.193.220:908,100.00%,1000 ms
162.159.193.207:908,100.00%,1000 ms
162.159.193.72:5279,100.00%,1000 ms
162.159.193.219:908,100.00%,1000 ms
188.114.97.147:5279,100.00%,1000 ms
162.159.204.219:908,100.00%,1000 ms
188.114.99.240:5279,100.00%,1000 ms
162.159.204.251:5279,100.00%,1000 ms
162.159.193.27:5279,100.00%,1000 ms
162.159.193.76:908,100.00%,1000 ms
162.159.193.192:5279,100.00%,1000 ms
162.159.193.27:908,100.00%,1000 ms
162.159.204.31:908,100.00%,1000 ms
162.159.193.202:5279,100.00%,1000 ms
188.114.97.90:5279,100.00%,1000 ms
162.159.193.246:908,100.00%,1000 ms
162.159.204.107:908,100.00%,1000 ms
162.159.193.2:908,100.00%,1000 ms
162.159.193.219:5279,100.00%,1000 ms
162.159.193.208:5279,100.00%,1000 ms
162.159.193.207:5279,100.00%,1000 ms
188.114.97.147:908,100.00%,1000 ms
162.159.193.66:5279,100.00%,1000 ms
162.159.204.135:908,100.00%,1000 ms
162.159.193.209:5279,100.00%,1000 ms
162.159.193.202:908,100.00%,1000 ms
162.159.193.246:5279,100.00%,1000 ms
162.159.193.43:5279,100.00%,1000 ms
162.159.204.70:5279,100.00%,1000 ms
162.159.193.208:908,100.00%,1000 ms
188.114.96.44:5279,100.00%,1000 ms
162.159.193.76:5279,100.00%,1000 ms
162.159.193.192:908,100.00%,1000 ms
162.159.204.135:5279,100.00%,1000 ms
162.159.193.66:908,100.00%,1000 ms
162.159.193.72:908,100.00%,1000 ms
162.159.204.251:908,100.00%,1000 ms
162.159.193.2:5279,100.00%,1000 ms
162.159.193.209:908,100.00%,1000 ms
162.159.204.126:908,100.00%,1000 ms
162.159.193.220:5279,100.00%,1000 ms
162.159.192.3:908,100.00%,1000 ms
162.159.204.219:5279,100.00%,1000 ms
162.159.204.9:908,100.00%,1000 ms
188.114.97.3:5279,100.00%,1000 ms
162.159.204.126:5279,100.00%,1000 ms
188.114.97.3:908,100.00%,1000 ms
188.114.96.44:908,100.00%,1000 ms
162.159.204.254:908,100.00%,1000 ms
162.159.204.117:908,100.00%,1000 ms
188.114.97.90:908,100.00%,1000 ms
162.159.204.117:5279,100.00%,1000 ms
162.159.204.9:5279,100.00%,1000 ms
162.159.204.107:5279,100.00%,1000 ms
162.159.204.81:5279,100.00%,1000 ms
162.159.204.254:5279,100.00%,1000 ms
162.159.204.205:908,100.00%,1000 ms
162.159.204.70:908,100.00%,1000 ms
162.159.204.81:908,100.00%,1000 ms
162.159.204.205:5279,100.00%,1000 ms
162.159.204.31:5279,100.00%,1000 ms
